"cas_number","dtxsid","preferred_name","mw_g_mol"
"55335-06-3","DTXSID0032497","Triclopyr",256.46
"141517-21-7","DTXSID4032580","Trifloxystrobin",408.377
"61-00-7","DTXSID1022552","Acetylpromazine",326.46
"37115-32-5","DTXSID40190611","Adinazolam",351.84
"138112-76-2","DTXSID3057642","Agomelatine",243.306
"28981-97-7","DTXSID4022577","Alprazolam",308.77
"71675-85-9","DTXSID5042613","Amisulpride",369.48
"50-48-6","DTXSID7022594","Amitriptyline",277.411
"14028-44-5","DTXSID7022598","Amoxapine",313.79
"129722-12-9","DTXSID3046083","Aripiprazole",448.39
"65576-45-6","DTXSID8049048","Asenapine",285.77
"83015-26-3","DTXSID9044297","Atomoxetine",255.361
"115-46-8","DTXSID2045280","Azacyclonol",267.372
"302-40-9","DTXSID0022644","Benactyzine",327.424
"2062-84-2","DTXSID7045364","Benperidol",381.451
"486459-03-4","DTXSID401014169","4-Bromomethcathinone",242.116
"1812-30-2","DTXSID40171081","Bromazepam",316.158
"10457-90-6","DTXSID0022690","Bromperidol",420.322
"34911-55-2","DTXSID7022706","Bupropion",239.74
"36104-80-0","DTXSID50865803","Camazepam",371.82
"58-25-3","DTXSID4046022","Chlordiazepoxide",299.76
"50-53-3","DTXSID0022808","Chlorpromazine",318.86
"113-59-7","DTXSID4022810","Chlorprothixene",315.86
"59729-33-8","DTXSID8022826","Citalopram",324.399
"303-49-1","DTXSID6022844","Clomipramine",314.86
"982-24-1","DTXSID9048223","Clopenthixol",400.97
"2058-52-8","DTXSID5022851","Clothiapine",343.87
"33671-46-4","DTXSID0022852","Clotiazepam",318.82
"5786-21-0","DTXSID5022855","Clozapine",326.83
"93841-82-8","DTXSID70917530","2,3-Dihydroxybutanedioic acid--10-[3-(dimethylamino)-2-methylpropyl]-10H-phenothiazine-2-carbonitrile (1/1)",473.54
"2894-67-9","DTXSID70183137","Delorazepam",305.16
"50-47-5","DTXSID6022896","Desipramine",266.388
"4498-32-2","DTXSID7022916","Dibenzepin",295.386
"2470-73-7","DTXSID10947639","Dixyrazine",427.61
"113-53-1","DTXSID2022961","Dothiepin",295.44
"1668-19-5","DTXSID7022966","Doxepin",279.383
"548-73-2","DTXSID6022973","Droperidol",379.435
"116539-59-4","DTXSID6048385","Duloxetine",297.42
"29975-16-4","DTXSID5020572","Estazolam",294.74
"40054-69-1","DTXSID0023030","Etizolam",342.85
"167933-07-5","DTXSID30168445","Flibanserin",390.41
"1480-19-9","DTXSID4045711","Fluanisone",356.441
"612526-40-6","DTXSID40620266","Flubromazolam",371.213
"54910-89-3","DTXSID7023067","Fluoxetine",309.332
"2709-56-0","DTXSID3058749","Flupenthixol",434.52
"69-23-8","DTXSID2023068","Fluphenazine",437.53
"1841-19-6","DTXSID7045152","Fluspirilene",475.584
"54739-18-3","DTXSID2044002","Fluvoxamine",318.34
"52-86-8","DTXSID4034150","Haloperidol",375.87
"50-49-7","DTXSID1043881","Imipramine",280.415
"5560-72-5","DTXSID80204145","Iprindole",284.447
"27223-35-4","DTXSID20865350","Ketazolam",368.82
"851-68-3","DTXSID50859045","3-(2-Methoxy-10H-phenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine",328.47
"6192-97-8","DTXSID801024267","(-)-Propylhexedrine",155.285
"61197-73-7","DTXSID30894873","Loprazolam",464.91
"846-49-1","DTXSID7023225","Lorazepam",321.16
"848-75-9","DTXSID40862442","Lormetazepam",335.18
"10262-69-8","DTXSID7045029","Maprotiline",277.411
"2898-12-6","DTXSID1048708","Medazepam",270.76
"5118-29-6","DTXSID4048274","Melitracen",291.438
"3575-80-2","DTXSID0023298","Methylperone",263.356
"57-53-4","DTXSID3023261","Meprobamate",218.253
"5588-33-0","DTXSID3023265","Mesoridazine",386.57
"84031-17-4","DTXSID40905121","7-Bromo-5-(o-chlorophenyl)-2,3-dihydro-2-(methoxymethyl)-1-methyl-1H-1,4-benzodiazepine",393.71
"532-03-6","DTXSID6023286","Methocarbamol",241.243
"40054-68-0","DTXSID101032847","Metizolam",328.82
"24219-97-4","DTXSID6023317","Mianserin",264.372
"59467-70-8","DTXSID5023320","Midazolam",325.77
"85650-52-8","DTXSID0023325","Mirtazapine",265.36
"71320-77-9","DTXSID9040554","Moclobemide",268.74
"7416-34-4","DTXSID9023332","Molindone",276.38
"1050-79-9","DTXSID6049062","Moperone",355.453
"83366-66-9","DTXSID2023357","Nefazodone",470.01
"74723-10-7","DTXSID80996250","5-(2-Fluorophenyl)-1,3-dihydro-3-hydroxy-7-nitro-2H-1,4-benzodiazepin-2-one",315.26
"146-22-5","DTXSID5023372","Nitrazepam",281.271
"28910-99-8","DTXSID401045827","Nitrazolam",319.324
"24526-64-5","DTXSID0023377","Nomifensine",238.334
"132539-06-1","DTXSID9023388","Olanzapine",312.44
"315-72-0","DTXSID3023394","Opipramol",363.505
"604-75-1","DTXSID1021087","Oxazepam",286.72
